employee_id,rating,year,fullname,nip,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki,year_competency,avg_competency_score
EMP100025,,2021,RIZKY DHARMA PURNAMA,786831,1,3,1,2,5,3,3,2,2,20,53,71,CS,Conscientious-Steadiness,ESTJ,,34.0,8,2021,
EMP100026,3.0,2021,WULAN YUDHISTIRA TAMBA,926498,4,1,4,2,5,2,2,4,3,65,96,37,IS,Influencer-Steadiness,ESFJ,107.0,32.0,4,2021,2.7777777777777777
EMP100027,,2021,OKA ROHMAN,176075,3,3,2,1,5,1,3,3,2,132,93,76,SC,Steadiness-Conscientious,INFP,97.0,18.0,9,2021,4.0
EMP100028,,2021,NADIA SAPUTRA,373327,3,1,3,3,4,1,2,4,5,22,95,71,SI,Steadiness-Influencer,INFP,107.0,20.0,3,2021,
EMP100029,4.0,2021,SATYA ADI HASIBUAN,491714,3,3,5,6,5,1,1,1,5,32,93,85,DC,Dominant-Conscientious,INTP,105.0,29.0,10,2021,3.888888888888889
EMP100030,1.0,2021,RIZKY ANUGRAH PERMADI,276288,3,1,5,3,4,2,3,3,4,56,46,100,DS,Dominant-Steadiness,ESTJ,110.0,22.0,4,2021,1.1
EMP100031,4.0,2021,JULIA NABILA KURNIAWAN,379652,4,4,3,2,4,3,2,4,2,34,34,93,CD,Conscientious-Dominant,INTJ,103.0,35.0,3,2021,4.142857142857143
EMP100032,3.0,2021,GALIH MAHARDIKA PURNAMA,980623,2,1,3,6,3,3,1,4,2,34,29,85,DS,Dominant-Steadiness,ENTJ,,36.0,7,2021,3.1
EMP100033,3.0,2021,AHMAD SIMANJUNTAK,846300,2,2,5,3,1,3,2,4,3,37,53,83,ID,Influencer-Dominant,ENFP,117.0,23.0,6,2021,2.8
EMP100034,3.0,2021,ARI ADI GINTING,510070,1,4,6,5,5,2,1,4,1,86,34,35,DS,Dominant-Steadiness,ENFP,116.0,35.0,5,2021,3.4444444444444446
EMP100035,2.0,2021,OKA TAMBA,243414,3,4,1,5,4,3,3,2,4,57,84,36,DI,Dominant-Influencer,NAN,103.0,28.0,7,2021,2.2
EMP100036,3.0,2021,AYUNDA UTAMA LESTARI,515963,2,1,1,6,4,3,3,2,3,54,96,81,CD,Conscientious-Dominant,ESFJ,120.0,28.0,3,2021,3.0
EMP100037,1.0,2021,NABILA RAMADHAN,967856,1,1,6,4,2,1,2,2,6,52,45,41,NAN,Conscientious-Influencer,ISTJ,,,1,2021,1.3
EMP100038,4.0,2021,BELLA TRI SETIAWAN,446315,3,3,6,5,3,2,3,4,2,50,28,51,IC,Influencer-Conscientious,ESFP,93.0,36.0,2,2021,3.8
EMP100039,4.0,2021,BUDI ADI PERMADI,476249,2,2,4,3,2,2,1,3,4,65,51,52,SI,Steadiness-Influencer,ISFP,125.0,41.0,9,2021,3.7
EMP100040,1.0,2021,RIFQI PUTRA,751135,3,1,4,2,2,3,2,4,2,81,55,36,ID,Influencer-Dominant,ESTP,112.0,24.0,10,2021,1.2
EMP100041,1.0,2021,LESTARI MAULANA,135400,4,2,3,6,2,1,1,2,4,99,53,32,IS,Influencer-Steadiness,ISTJ,86.0,25.0,7,2021,1.0
EMP100042,1.0,2021,OKA LUKMAN,191210,3,3,6,2,4,2,1,4,3,28,63,43,CD,Conscientious-Dominant,ENFP,139.0,25.0,1,2021,1.1111111111111112
EMP100043,5.0,2021,NUGROHO INDRAWAN,123837,2,2,3,4,2,2,1,1,3,40,41,97,SD,Steadiness-Dominant,ESFJ,,,9,2021,5.0
EMP100044,,2021,INDRA MAULIDA,742065,4,4,5,3,1,2,1,2,6,8,74,44,ID,Influencer-Dominant,ESFP,82.0,41.0,5,2021,
EMP100045,2.0,2021,DIMAS MAHENDRA,581488,2,3,2,3,4,1,3,1,5,38,99,71,DS,Dominant-Steadiness,ISTJ,111.0,23.0,1,2021,2.0
EMP100046,3.0,2021,FITRI LESTARI,117913,3,4,1,4,3,1,2,2,6,64,67,91,NAN,Dominant-Conscientious,ISTJ,,,6,2021,3.0
EMP100047,4.0,2021,HADI PRADANA,161695,3,2,2,2,5,1,1,3,5,58,61,55,ID,Influencer-Dominant,ISTJ,110.0,22.0,1,2021,3.7777777777777777
EMP100048,3.0,2021,ADIT HALIM,557326,3,4,4,5,4,3,1,4,6,50,37,32,SI,Steadiness-Influencer,ESFJ,125.0,36.0,1,2021,3.0
EMP100049,5.0,2021,RIZKI HALIM SIREGAR,453636,1,4,5,1,1,1,3,4,6,35,94,30,DC,Dominant-Conscientious,INTP,133.0,27.0,5,2021,4.777777777777778
EMP100050,2.0,2021,JOKO RIDWAN,411437,4,3,4,3,5,3,1,2,2,69,81,54,DC,Dominant-Conscientious,NAN,131.0,32.0,6,2021,1.8
EMP100051,4.0,2021,ARI MAHARDIKA NUGROHO,286318,4,4,5,1,4,3,1,3,5,98,94,61,CS,Conscientious-Steadiness,INFP,110.0,36.0,7,2021,3.9
EMP100052,,2021,SARI YUDHISTIRA MAHENDRA,740192,1,4,4,2,1,2,3,3,3,23,69,55,IC,Influencer-Conscientious,ISTJ,126.0,36.0,10,2021,
EMP100053,5.0,2021,ANISA PAMUNGKAS,770602,1,3,1,3,3,1,3,3,5,52,97,71,IS,Influencer-Steadiness,ISFJ,140.0,23.0,5,2021,4.777777777777778
EMP100054,,2021,NUGROHO MAULIDA,239182,2,4,4,3,5,1,1,2,3,22,23,42,SI,Steadiness-Influencer,ISTJ,88.0,36.0,8,2021,
EMP100055,4.0,2021,PUTRI NUGROHO,153339,1,2,6,1,4,1,2,4,5,42,50,80,DS,Dominant-Steadiness,INFJ,124.0,26.0,9,2021,4.222222222222222
EMP100056,5.0,2021,AYUNDA RAMADHAN,401856,4,4,1,4,3,2,1,3,3,96,44,20,CI,Conscientious-Influencer,INTJ,,,5,2021,4.7
EMP100057,3.0,2021,NURLITA KUSUMA,285929,3,2,6,2,4,3,3,1,4,60,39,27,IS,Influencer-Steadiness,ENTP,123.0,35.0,9,2021,3.0
EMP100058,3.0,2021,ADIT ANUGRAH HALIM,827158,3,3,2,4,1,2,3,2,4,66,60,96,CS,Conscientious-Steadiness,INTJ,,,8,2021,3.0
EMP100059,1.0,2021,FAJAR DHARMA SUBEKTI,404880,2,3,3,2,4,1,3,4,6,75,64,77,SI,Steadiness-Influencer,NAN,92.0,13.0,9,2021,1.0
EMP100060,4.0,2021,WULAN MAULIDA,302930,1,4,3,4,1,3,2,2,2,44,46,96,CS,Conscientious-Steadiness,ENTP,,,7,2021,3.5
EMP100061,,2021,OKTAVIA ANUGRAH SETIAWAN,275683,4,3,6,4,1,1,3,1,5,46,92,22,IC,Influencer-Conscientious,ENTP,,,6,2021,2.2
EMP100062,4.0,2021,VALDO JATMIKO MAHENDRA,249908,3,3,4,6,3,2,2,3,2,40,42,25,NAN,Dominant-Influencer,ISTP,89.0,31.0,8,2021,4.0
EMP100063,5.0,2021,AYU LESTARI PRADANA,461165,2,1,1,4,2,1,1,3,5,42,45,96,SC,Steadiness-Conscientious,ESFP,,,8,2021,5.0
EMP100064,4.0,2021,KURNIA PURNAMA,551120,1,2,6,5,4,3,3,1,6,38,55,27,IS,Influencer-Steadiness,ESTP,96.0,26.0,4,2021,4.2
EMP100065,4.0,2021,RANI SAPUTRA,240200,1,4,1,1,4,2,2,1,4,24,22,29,CS,Conscientious-Steadiness,ISFP,90.0,34.0,10,2021,4.0
EMP100066,3.0,2021,TANIA LESTARI SETIAWAN,378824,1,4,3,1,2,1,1,1,1,65,54,64,CD,Conscientious-Dominant,ENTJ,84.0,28.0,10,2021,2.7
EMP100067,3.0,2021,INDRA ZULFIKAR,696462,1,3,3,1,2,1,3,1,1,89,40,38,SD,Steadiness-Dominant,INTJ,101.0,20.0,6,2021,3.3333333333333335
EMP100068,2.0,2021,NABILA QOLBI SUHARTO,671201,4,1,3,2,5,2,1,4,1,68,34,60,DI,Dominant-Influencer,INTP,,16.0,5,2021,1.75
EMP100069,,2021,ANISA PERMADI,252350,1,3,4,2,4,3,1,2,2,61,36,41,IC,Influencer-Conscientious,INFJ,93.0,36.0,10,2021,2.7777777777777777
EMP100070,4.0,2021,KARTIKA RACHMAN RAMADHAN,855424,3,4,6,2,4,3,1,1,5,47,74,38,DC,Dominant-Conscientious,ENFJ,137.0,36.0,2,2021,4.0
EMP100071,3.0,2021,RAFA SITUMORANG,871247,2,3,4,3,4,3,1,2,4,72,38,52,DC,Dominant-Conscientious,ENTP,107.0,35.0,7,2021,3.0
EMP100072,2.0,2021,NUGROHO HARTANTO,161630,2,1,3,5,3,1,1,3,6,45,92,40,CI,Conscientious-Influencer,INFP,87.0,32.0,4,2021,2.0
EMP100073,2.0,2021,DIMAS HALIM ANANDA,972245,2,3,3,3,5,1,3,3,1,85,42,31,IC,Influencer-Conscientious,ESTJ,104.0,35.0,9,2021,2.4
EMP100074,5.0,2021,ARI UTAMA PUTRA,100945,4,1,2,1,3,2,3,1,3,32,52,76,CI,Conscientious-Influencer,INTJ,131.0,25.0,4,2021,4.777777777777778
EMP100075,3.0,2021,RIZKI HALIM ZULFIKAR,290052,3,1,5,4,5,3,1,4,4,24,31,78,ID,Influencer-Dominant,INTP,,,2,2021,3.1
EMP100076,,2021,RIZKI WIJAYA,458782,1,3,6,5,4,2,1,3,1,4,90,52,IS,Influencer-Steadiness,ESFP,80.0,34.0,4,2021,
EMP100077,2.0,2021,NOVI SETIAWAN,115692,3,4,3,3,1,3,1,3,5,35,79,57,CD,Conscientious-Dominant,ENFJ,135.0,32.0,1,2021,2.1666666666666665
EMP100078,5.0,2021,INDRA ANGGARA,811320,1,1,6,3,1,3,3,4,1,39,99,46,SI,Steadiness-Influencer,ISTP,84.0,19.0,8,2021,4.9
EMP100079,3.0,2021,NOVI HASIBUAN,298849,4,4,3,3,4,1,1,1,5,67,22,38,DS,Dominant-Steadiness,ISTJ,122.0,23.0,5,2021,3.375
EMP100080,4.0,2021,ANDI MAHARDIKA HANDAYANI,274945,2,1,2,3,3,3,2,4,2,43,55,29,DC,Dominant-Conscientious,ENFJ,87.0,36.0,8,2021,14.777777777777779
EMP100081,4.0,2021,ARI YULIANTO,447230,1,4,6,1,3,3,3,3,3,85,49,31,CS,Conscientious-Steadiness,ENFP,138.0,23.0,7,2021,3.9
EMP100082,3.0,2021,BUDI DHARMA LUKMAN,247239,3,4,1,3,2,3,3,4,1,63,94,39,NAN,Conscientious-Steadiness,INTP,133.0,27.0,6,2021,3.1
EMP100083,,2021,RIZKA ERLANGGA SUBEKTI,286153,1,3,6,6,1,3,2,4,1,19,50,81,CD,Conscientious-Dominant,ENTJ,99.0,30.0,2,2021,
EMP100084,,2021,DIAN RACHMAN HANDAYANI,735572,1,3,6,2,1,3,2,1,2,16,56,48,SD,Steadiness-Dominant,NAN,118.0,36.0,5,2021,99.0
EMP100085,,2021,AHMAD ROHMAN,540638,2,4,2,3,4,2,3,2,1,22,86,61,NAN,Conscientious-Steadiness,ENTJ,,26.0,8,2021,
EMP100086,,2021,RANI SYAHPUTRA,503804,3,3,4,6,5,1,3,3,3,23,79,76,IC,Influencer-Conscientious,ISTJ,110.0,36.0,3,2021,
EMP100087,,2021,RIZKA ANANDA,649357,2,1,1,6,2,2,3,3,3,12,36,63,DS,Dominant-Steadiness,ENFP,109.0,25.0,2,2021,
EMP100088,4.0,2021,NADIA SAPUTRA MAHENDRA,192144,2,4,3,2,4,1,1,3,6,38,29,88,CS,Conscientious-Steadiness,ISFP,83.0,29.0,5,2021,4.125
EMP100089,3.0,2021,UMAR SIMANJUNTAK,179520,1,2,5,4,3,3,3,2,4,56,97,26,CD,Conscientious-Dominant,NAN,,,10,2021,3.1
EMP100090,4.0,2021,MAYA PRATOMO,304860,2,4,6,5,4,2,2,2,5,27,48,96,DS,Dominant-Steadiness,ESTJ,,29.0,1,2021,4.2
EMP100091,,2021,OKA CANDRA FIRMANSYAH,109937,4,1,3,3,1,1,2,3,1,10,36,83,DS,Dominant-Steadiness,ENFP,102.0,23.0,6,2021,0.0
EMP100092,3.0,2021,AHMAD INDRAWAN,810984,2,1,2,4,1,3,3,2,2,68,43,51,IC,Influencer-Conscientious,ENTJ,,,1,2021,2.7
EMP100093,1.0,2021,NADIA LESTARI UTAMI,218189,1,1,2,5,3,3,2,2,6,57,71,31,CS,Conscientious-Steadiness,ENTP,93.0,24.0,3,2021,1.25
EMP100094,1.0,2021,NADIA UTAMA YULIANTO,838236,4,1,1,3,3,3,1,2,4,33,24,50,SD,Steadiness-Dominant,INFJ,95.0,16.0,6,2021,1.6
EMP100095,2.0,2021,FITRI PAMUNGKAS,186709,2,4,3,4,5,2,2,3,5,41,66,40,SC,Steadiness-Conscientious,ISFJ,,,5,2021,2.0
EMP100096,3.0,2021,RAMA DHARMA WIBOWO,349891,4,3,2,6,2,1,2,3,4,77,42,78,SI,Steadiness-Influencer,ENTJ,,20.0,7,2021,2.9
EMP100097,0.0,2021,VALDO SUBEKTI,922054,1,1,6,2,1,3,1,2,3,64,44,76,DC,Dominant-Conscientious,INFJ,,32.0,2,2021,3.111111111111111
EMP100098,4.0,2021,INDRA HIDAYAT,843650,3,4,3,3,1,1,3,2,1,57,37,32,ID,Influencer-Dominant,ENTJ,128.0,17.0,9,2021,4.0
EMP100099,2.0,2021,TANIA SUHARTO,635643,3,4,4,4,2,2,1,2,6,46,52,80,SC,Steadiness-Conscientious,ESTJ,,,7,2021,1.8571428571428572
EMP100100,4.0,2021,INTAN RACHMAN SUHARTO,198295,4,4,1,4,1,1,2,1,2,55,44,56,DC,Dominant-Conscientious,NAN,,,6,2021,3.9
EMP100101,4.0,2021,YOGA PRATOMO,264764,3,1,4,1,1,2,3,4,5,51,35,97,IC,Influencer-Conscientious,ESTJ,81.0,26.0,2,2021,4.25
EMP100102,,2021,DINDA PERMADI,342888,1,2,3,6,1,3,1,3,3,22,47,89,SI,Steadiness-Influencer,INTJ,111.0,19.0,5,2021,
EMP100103,4.0,2021,AYU GINTING,310700,4,1,2,3,1,3,2,1,1,32,62,73,NAN,Influencer-Steadiness,ESTJ,105.0,26.0,2,2021,4.1
EMP100104,5.0,2021,BUDI PRATAMA,642860,4,4,4,3,3,2,1,4,6,81,80,37,DC,Dominant-Conscientious,ISTP,102.0,23.0,9,2021,5.0
EMP100105,,2021,MAYA YULIANTO,653381,2,1,1,4,4,2,1,4,1,16,50,45,SC,Steadiness-Conscientious,ENFJ,,,7,2021,
EMP100106,4.0,2021,VALDO WIJAYA WIJAYA,335938,3,3,1,6,5,3,3,4,1,64,72,49,CD,Conscientious-Dominant,ENFJ,102.0,29.0,4,2021,4.222222222222222
EMP100107,4.0,2021,DIAN FAUZIAH,273235,4,2,4,5,3,1,2,4,4,45,28,59,CI,Conscientious-Influencer,ISFP,104.0,41.0,9,2021,3.5
EMP100108,3.0,2021,DINDA ERLANGGA HANDAYANI,455098,4,2,3,3,5,3,2,2,6,58,73,70,DC,Dominant-Conscientious,ISTP,129.0,27.0,5,2021,3.111111111111111
EMP100109,,2021,DINDA WIBOWO,127614,3,1,2,3,4,3,3,4,4,55,90,96,DC,Dominant-Conscientious,ESFP,91.0,16.0,4,2021,3.7142857142857144
EMP100110,2.0,2021,CITRA HARTANTO,528735,3,2,5,3,5,2,3,3,4,46,36,63,SD,Steadiness-Dominant,INFP,97.0,37.0,5,2021,2.2222222222222223
EMP100111,3.0,2021,RENDRA HERLAMBANG,510681,2,2,3,6,4,1,3,3,5,44,38,99,ID,Influencer-Dominant,ENFJ,83.0,22.0,8,2021,3.2222222222222223
EMP100112,,2021,ADIT MAHARDIKA PRATAMA,874330,4,4,3,1,4,3,1,1,3,36,88,83,NAN,Dominant-Conscientious,ENTP,132.0,25.0,7,2021,4.8
EMP100113,4.0,2021,IMAN RACHMAN RAHMAWATI,313238,1,4,1,6,3,1,2,1,5,55,57,72,ID,Influencer-Dominant,INTJ,117.0,28.0,10,2021,3.8
EMP100114,,2021,VANIA FADILLAH FAUZIAH,475116,2,2,4,4,5,2,2,4,2,15,33,29,DI,Dominant-Influencer,INFJ,,,7,2021,
EMP100115,2.0,2021,SATYA YUDHISTIRA LUKMAN,804211,2,1,1,2,4,2,1,3,4,41,21,62,IS,Influencer-Steadiness,ENFJ,90.0,23.0,7,2021,1.7
EMP100116,1.0,2021,BAYU RIDWAN,747077,2,2,6,4,3,2,3,2,5,50,89,40,SI,Steadiness-Influencer,ISFP,,,7,2021,1.1
EMP100117,4.0,2021,PRASETYO GUNAWAN,362939,4,4,4,6,2,2,2,2,6,39,40,98,NAN,Dominant-Influencer,INFJ,86.0,25.0,5,2021,4.1
EMP100118,4.0,2021,JULIA PRAMUDITA HARTANTO,244488,4,4,4,2,5,3,3,2,4,53,67,31,IC,Influencer-Conscientious,ISTJ,,32.0,2,2021,4.111111111111111
EMP100119,,2021,IMAN GINTING,562438,2,2,6,1,3,1,2,2,3,1,96,35,SI,Steadiness-Influencer,INTJ,102.0,29.0,1,2021,6.0
EMP100120,4.0,2021,IMAN MAULIDA,949849,4,2,2,1,2,1,2,1,3,52,53,45,SC,Steadiness-Conscientious,NAN,127.0,29.0,8,2021,4.0
EMP100121,4.0,2021,BAYU HIDAYAT,174665,1,3,4,3,2,3,1,2,4,56,95,85,NAN,Steadiness-Dominant,INFJ,84.0,21.0,10,2021,3.8
EMP100122,,2021,RIZKI SIMANJUNTAK,580039,2,3,6,4,1,3,3,2,2,10,27,63,CS,Conscientious-Steadiness,ESTP,,,2,2021,
EMP100123,2.0,2021,KURNIA JATMIKO PERMADI,557929,2,1,5,2,1,1,2,4,2,54,40,42,CD,Conscientious-Dominant,ESTJ,107.0,27.0,8,2021,2.0
EMP100124,,2021,MAYA NABILA SALSABILA,614276,2,4,2,4,5,2,1,1,2,52,38,84,DC,Dominant-Conscientious,ESFP,,,8,2021,3.1
EMP100125,4.0,2021,NABILA LESTARI SANTOSO,500320,2,4,5,1,3,2,3,1,1,45,28,72,DC,Dominant-Conscientious,ENTP,,30.0,6,2021,4.125
EMP100126,3.0,2021,VANIA SIREGAR,549217,3,4,5,5,1,3,3,3,3,67,86,53,DS,Dominant-Steadiness,ISFP,120.0,24.0,1,2021,3.2
EMP100127,3.0,2021,LESTARI GUNAWAN,809952,1,3,6,4,1,1,3,3,6,26,20,65,CI,Conscientious-Influencer,NAN,,,1,2021,3.0
EMP100128,1.0,2021,AHMAD SIREGAR,282135,1,1,4,6,4,2,2,2,3,58,70,69,DC,Dominant-Conscientious,ESTP,117.0,38.0,3,2021,1.3333333333333333
EMP100129,,2021,DIAN UTAMA KUSUMA,445242,4,4,2,1,1,1,2,3,2,17,64,40,CS,Conscientious-Steadiness,ENTP,109.0,28.0,3,2021,
EMP100130,3.0,2021,CITRA RAHMAWATI,328046,2,3,1,1,2,3,1,4,3,68,39,80,CD,Conscientious-Dominant,INTP,84.0,24.0,9,2021,3.111111111111111
EMP100131,3.0,2021,AYUNDA ADI HARTANTO,190746,1,1,4,5,4,1,3,3,3,58,51,47,DS,Dominant-Steadiness,ESTP,102.0,24.0,2,2021,3.2222222222222223
EMP100132,1.0,2021,MAYA RAMADHAN,378744,1,2,2,5,4,2,3,2,6,46,66,59,SI,Steadiness-Influencer,ISFP,118.0,33.0,8,2021,1.0
EMP100133,1.0,2021,RENDRA HANDAYANI,851667,2,2,4,2,1,3,1,3,1,30,44,89,CI,Conscientious-Influencer,ENTP,104.0,39.0,4,2021,1.0
EMP100134,2.0,2021,RIFQI WIJAYA,526403,4,2,5,3,5,2,1,1,5,61,33,89,CS,Conscientious-Steadiness,INTJ,119.0,22.0,6,2021,2.25
EMP100135,,2021,INDRA WIJAYA RIDWAN,738691,1,3,4,1,5,3,1,1,6,14,87,64,NAN,Conscientious-Influencer,INFP,113.0,27.0,7,2021,
EMP100136,,2021,MAYA PRADANA,517117,3,2,2,2,2,1,1,1,6,76,45,53,ID,Influencer-Dominant,ESFJ,131.0,26.0,10,2021,2.0
EMP100137,,2021,RIZKY JATMIKO HASIBUAN,553122,1,2,1,5,4,2,1,1,1,124,73,32,DC,Dominant-Conscientious,ESFJ,125.0,16.0,10,2021,2.2222222222222223
EMP100138,3.0,2021,RANI ZULFIKAR,432483,2,1,3,4,1,2,3,4,5,42,29,27,IC,Influencer-Conscientious,ISFJ,,,9,2021,2.5714285714285716
EMP100139,,2021,NADIA HERLAMBANG,982093,1,2,4,4,2,3,3,2,3,78,47,90,IC,Influencer-Conscientious,ENTP,,,8,2021,3.4444444444444446
EMP100140,3.0,2021,YUNI SIREGAR,998756,4,2,6,3,2,1,1,4,6,54,92,73,DI,Dominant-Influencer,ISFP,,33.0,1,2021,2.888888888888889
EMP100141,3.0,2021,FITRI UTAMI,861763,4,3,6,2,1,3,3,3,1,67,91,28,DC,Dominant-Conscientious,ENFJ,124.0,29.0,8,2021,3.0
EMP100142,3.0,2021,INDRA PUTRA,749034,1,3,4,4,1,3,1,1,5,64,98,64,ID,Influencer-Dominant,ESTP,,,1,2021,3.0
EMP100143,,2021,NADIA PRAMUDITA WIBOWO,895607,1,3,2,5,3,3,2,2,3,22,38,93,IS,Influencer-Steadiness,ESFP,122.0,21.0,3,2021,
EMP100144,,2021,BELLA NABILA PURNAMA,423266,2,2,4,2,1,3,2,2,6,20,60,58,CI,Conscientious-Influencer,ENFP,,23.0,8,2021,
EMP100145,3.0,2021,NOVI PURNAMA,148545,3,1,5,1,4,1,1,4,5,41,51,100,SC,Steadiness-Conscientious,INFP,107.0,31.0,9,2021,3.2222222222222223
EMP100146,3.0,2021,MAYA WIJAYA,249743,2,4,5,5,1,2,1,1,5,35,90,91,CS,Conscientious-Steadiness,INTP,120.0,21.0,9,2021,3.0
EMP100147,,2021,HANA RIDWAN,335078,4,3,6,2,5,1,2,2,6,7,67,49,IS,Influencer-Steadiness,ESFJ,,34.0,5,2021,
EMP100148,3.0,2021,GALIH ZULFIKAR HASIBUAN,703594,2,1,1,5,4,1,1,4,2,100,43,77,IS,Influencer-Steadiness,INTP,120.0,34.0,2,2021,13.88888888888889
EMP100149,3.0,2021,TEGUH SAPUTRA HASIBUAN,512914,4,2,4,5,2,3,1,4,3,60,28,28,NAN,Dominant-Conscientious,ESTJ,122.0,26.0,7,2021,2.9
EMP100150,3.0,2021,HADI HASIBUAN,207057,3,3,1,5,1,1,3,3,6,69,69,77,CS,Conscientious-Steadiness,ENFP,125.0,26.0,4,2021,2.888888888888889
EMP100151,1.0,2021,WAHYU PERMADI,332971,4,1,3,6,5,3,1,4,1,42,35,65,DI,Dominant-Influencer,INTP,123.0,15.0,10,2021,1.1111111111111112
EMP100152,3.0,2021,SATYA SIREGAR,645559,3,4,2,2,5,3,3,2,5,59,33,67,IC,Influencer-Conscientious,NAN,93.0,22.0,6,2021,3.7
EMP100153,3.0,2021,ARIF HERLAMBANG,692402,4,1,3,2,3,3,1,3,6,66,85,73,CI,Conscientious-Influencer,ENFJ,,31.0,9,2021,3.0
EMP100154,2.0,2021,KURNIA MAULIDA,876199,1,2,2,1,1,2,2,4,4,39,86,42,ID,Influencer-Dominant,ESFP,117.0,26.0,10,2021,2.0
